ID;Nº DE INGRESOS;DELITO GENERICO;DELITO ESPECÍFICO;SITUACION JURIDICA;EDAD;SEXO;PAIS;ESTADO CIVIL;GRADO DE INSTRUCCIÓN;OCUPACION GENERICO;OCUPACION ESPECIFICO;NOMBRE DEL PENAL;DEPARTAMENTO;OFICINA REGIONAL;MES;CONTINENTE
1;3;DELITOS CONTRA EL PATRIMONIO;ROBO AGRAVADO;SENTENCIADO;30;MASCULINO;PERÚ;SOLTERO;PRIMARIA COMP.;OFICIOS;OBREROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
2;1;DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD;HOMICIDIO CALIFICADO - ASESINATO;SENTENCIADO;28;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;OBREROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
3;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;23;MASCULINO;COLOMBIA;CONVIVIENTE;SECUNDARIA COMP.;OFICIOS;OTROS OFICIOS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
4;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL DE MENOR DE EDAD;PROCESADO;38;MASCULINO;PERÚ;CONVIVIENTE;SECUNDARIA INCOMP.;OFICIOS;OBREROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
5;1;DELITOS CONTRA EL PATRIMONIO;ROBO AGRAVADO;PROCESADO;19;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;OTROS OFICIOS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
6;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL DE MENOR DE EDAD;SENTENCIADO;43;MASCULINO;PERÚ;CASADO;PRIMARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
7;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL;PROCESADO;37;MASCULINO;PERÚ;CONVIVIENTE;SECUNDARIA COMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
8;3;DELITOS CONTRA EL PATRIMONIO;HURTO AGRAVADO;SENTENCIADO;39;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;OBREROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
9;1;DELITOS CONTRA LA FAMILIA;INCUMPLIMIENTO DE LA OBLIGACIÓN ALIMENTARIA;PROCESADO;37;MASCULINO;PERÚ;CONVIVIENTE;SECUNDARIA COMP.;OFICIOS;OTROS OFICIOS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
10;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;31;MASCULINO;COLOMBIA;CONVIVIENTE;SECUNDARIA COMP.;OFICIOS;OBREROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
