id,edad,ingresos,sexo,delito_generico,situacion_juridica,departamento,nombre_del_penal,cluster_kmeans
1,30,3,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
2,28,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
3,23,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
4,38,1,Masculino,DELITOS CONTRA LA LIBERTAD,Procesado,Tumbes,E.P. DE TUMBES,1
5,19,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
6,43,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
7,37,1,Masculino,DELITOS CONTRA LA LIBERTAD,Procesado,Tumbes,E.P. DE TUMBES,1
8,39,3,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
9,37,1,Masculino,DELITOS CONTRA LA FAMILIA,Procesado,Tumbes,E.P. DE TUMBES,1
10,31,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
11,31,1,Masculino,DELITOS CONTRA LA TRANQUILIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
12,21,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
13,41,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
14,28,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
15,63,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
16,21,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
17,18,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
18,31,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
19,48,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
20,50,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
21,39,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
22,59,4,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,3
23,34,1,Masculino,DELITOS CONTRA LA FAMILIA,Procesado,Tumbes,E.P. DE TUMBES,1
24,32,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
25,39,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
26,40,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
27,32,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
28,42,1,Masculino,DELITOS CONTRA LA FAMILIA,Sentenciado,Tumbes,E.P. DE TUMBES,4
29,31,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
30,47,2,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,3
31,22,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
32,38,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
33,48,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,4
34,23,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
35,43,2,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,3
36,49,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
37,73,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
38,41,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
39,30,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
40,25,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
41,25,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
42,28,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
43,31,5,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,2
44,32,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
45,53,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
46,51,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
47,30,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
48,27,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
49,32,1,Masculino,DELITOS CONTRA LA FAMILIA,Sentenciado,Tumbes,E.P. DE TUMBES,1
50,28,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
51,78,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
52,38,1,Femenino,DELITOS CONTRA LA ADMINISTRACION PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
53,26,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
54,41,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
55,32,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
56,66,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,4
57,20,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
58,25,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
59,31,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
60,39,3,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,3
61,39,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
62,32,3,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,3
63,32,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
64,45,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
65,41,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
66,40,1,Masculino,DELITOS CONTRA LA LIBERTAD,Procesado,Tumbes,E.P. DE TUMBES,1
67,65,1,Masculino,DELITOS CONTRA LA ADMINISTRACION PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
68,22,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
69,41,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
70,39,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
