departamento,municipalidades,con_serenazgo,porcentaje_serenazgo,efectivos_serenazgo,con_camaras,total_camaras,camaras_operativas,intervenciones_serenazgo
AMAZONAS,84,9,0.10714285714285714,137,10,87,78,1740
ANCASH,166,111,0.6686746987951807,1423,58,807,676,22795
APURIMAC,85,29,0.3411764705882353,308,16,228,201,9354
AREQUIPA,109,78,0.7155963302752294,1891,51,2347,1861,106082
AYACUCHO,124,87,0.7016129032258065,643,31,499,384,14465
CAJAMARCA,127,46,0.36220472440944884,806,28,474,412,7513
CALLAO,7,7,1,1774,7,1192,884,102572
CUSCO,116,109,0.9396551724137931,2016,59,1165,982,20474
HUANCAVELICA,102,45,0.4411764705882353,252,18,292,259,4089
HUANUCO,84,75,0.8928571428571429,708,17,401,272,17800
ICA,43,41,0.9534883720930233,1102,26,679,589,12277
JUNIN,124,100,0.8064516129032258,1140,51,677,525,49302
LA LIBERTAD,84,59,0.7023809523809523,2015,35,1153,736,49403
LAMBAYEQUE,38,25,0.6578947368421053,869,13,350,300,7232
LIMA,171,120,0.7017543859649122,19488,90,10475,9484,726911
LORETO,53,40,0.7547169811320755,1177,5,147,130,3737
MADRE DE DIOS,11,10,0.9090909090909091,140,1,14,10,2420
MOQUEGUA,21,9,0.42857142857142855,193,5,77,70,7977
PASCO,29,25,0.8620689655172413,224,10,248,232,9517
PIURA,65,52,0.8,1933,20,619,444,19057
PUNO,110,108,0.9818181818181818,1381,44,419,306,11206
SAN MARTIN,78,26,0.3333333333333333,478,10,373,328,6260
TACNA,28,24,0.8571428571428571,1381,14,434,364,17595
TUMBES,13,11,0.8461538461538461,276,7,126,88,1114
UCAYALI,19,19,1,578,8,178,122,15146
