ubigeo,llave_distrito,dpto_hecho_new,prov_hecho,dist_hecho,denuncias_2024_2026,vehiculos_pnp,vehiculos_operativos,comisarias
010101,AMAZONAS|CHACHAPOYAS|CHACHAPOYAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,3775,65,30,1
010102,AMAZONAS|CHACHAPOYAS|ASUNCION,AMAZONAS,CHACHAPOYAS,ASUNCION,14,0,0,0
010103,AMAZONAS|CHACHAPOYAS|BALSAS,AMAZONAS,CHACHAPOYAS,BALSAS,74,0,0,1
010104,AMAZONAS|CHACHAPOYAS|CHETO,AMAZONAS,CHACHAPOYAS,CHETO,8,0,0,0
010105,AMAZONAS|CHACHAPOYAS|CHILIQUIN,AMAZONAS,CHACHAPOYAS,CHILIQUIN,8,0,0,0
010106,AMAZONAS|CHACHAPOYAS|CHUQUIBAMBA,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,33,0,0,1
010107,AMAZONAS|CHACHAPOYAS|GRANADA,AMAZONAS,CHACHAPOYAS,GRANADA,3,0,0,1
010108,AMAZONAS|CHACHAPOYAS|HUANCAS,AMAZONAS,CHACHAPOYAS,HUANCAS,13,0,0,0
010109,AMAZONAS|CHACHAPOYAS|LA JALCA,AMAZONAS,CHACHAPOYAS,LA JALCA,162,0,0,1
010110,AMAZONAS|CHACHAPOYAS|LEIMEBAMBA,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,110,0,0,1
010111,AMAZONAS|CHACHAPOYAS|LEVANTO,AMAZONAS,CHACHAPOYAS,LEVANTO,5,0,0,0
010112,AMAZONAS|CHACHAPOYAS|MAGDALENA,AMAZONAS,CHACHAPOYAS,MAGDALENA,30,0,0,0
010113,AMAZONAS|CHACHAPOYAS|MARISCAL CASTILLA,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,16,0,0,1
010114,AMAZONAS|CHACHAPOYAS|MOLINOPAMPA,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,70,0,0,1
010115,AMAZONAS|CHACHAPOYAS|MONTEVIDEO,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,2,0,0,0
010116,AMAZONAS|CHACHAPOYAS|OLLEROS,AMAZONAS,CHACHAPOYAS,OLLEROS,2,0,0,0
010117,AMAZONAS|CHACHAPOYAS|QUINJALCA,AMAZONAS,CHACHAPOYAS,QUINJALCA,12,0,0,1
010118,AMAZONAS|CHACHAPOYAS|SAN FRANCISCO DE DAGUAS,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,39,0,0,1
010119,AMAZONAS|CHACHAPOYAS|SAN ISIDRO DE MAINO,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,11,0,0,0
010120,AMAZONAS|CHACHAPOYAS|SOLOCO,AMAZONAS,CHACHAPOYAS,SOLOCO,12,0,0,0
010121,AMAZONAS|CHACHAPOYAS|SONCHE,AMAZONAS,CHACHAPOYAS,SONCHE,4,0,0,0
010201,AMAZONAS|BAGUA|BAGUA,AMAZONAS,BAGUA,BAGUA,2711,10,6,1
010202,AMAZONAS|BAGUA|ARAMANGO,AMAZONAS,BAGUA,ARAMANGO,166,2,1,2
010203,AMAZONAS|BAGUA|COPALLIN,AMAZONAS,BAGUA,COPALLIN,89,2,1,1
010204,AMAZONAS|BAGUA|EL PARCO,AMAZONAS,BAGUA,EL PARCO,15,0,0,0
010205,AMAZONAS|BAGUA|IMAZA,AMAZONAS,BAGUA,IMAZA,261,1,1,2
010206,AMAZONAS|BAGUA|LA PECA,AMAZONAS,BAGUA,LA PECA,300,0,0,1
010301,AMAZONAS|BONGARA|JUMBILLA,AMAZONAS,BONGARA,JUMBILLA,139,2,1,1
010302,AMAZONAS|BONGARA|CHISQUILLA,AMAZONAS,BONGARA,CHISQUILLA,7,0,0,0
010303,AMAZONAS|BONGARA|CHURUJA,AMAZONAS,BONGARA,CHURUJA,12,0,0,1
010304,AMAZONAS|BONGARA|COROSHA,AMAZONAS,BONGARA,COROSHA,2,0,0,0
010305,AMAZONAS|BONGARA|CUISPES,AMAZONAS,BONGARA,CUISPES,7,0,0,0
010306,AMAZONAS|BONGARA|FLORIDA,AMAZONAS,BONGARA,FLORIDA,205,4,2,1
010307,AMAZONAS|BONGARA|JAZAN,AMAZONAS,BONGARA,JAZAN,608,12,9,1
010308,AMAZONAS|BONGARA|RECTA,AMAZONAS,BONGARA,RECTA,2,0,0,0
010309,AMAZONAS|BONGARA|SAN CARLOS,AMAZONAS,BONGARA,SAN CARLOS,13,0,0,0
010310,AMAZONAS|BONGARA|SHIPASBAMBA,AMAZONAS,BONGARA,SHIPASBAMBA,5,0,0,0
010311,AMAZONAS|BONGARA|VALERA,AMAZONAS,BONGARA,VALERA,31,1,0,1
010312,AMAZONAS|BONGARA|YAMBRASBAMBA,AMAZONAS,BONGARA,YAMBRASBAMBA,133,0,0,1
010401,AMAZONAS|CONDORCANQUI|NIEVA,AMAZONAS,CONDORCANQUI,NIEVA,708,3,3,1
010402,AMAZONAS|CONDORCANQUI|EL CENEPA,AMAZONAS,CONDORCANQUI,EL CENEPA,12,0,0,0
010403,AMAZONAS|CONDORCANQUI|RIO SANTIAGO,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,13,0,0,0
010501,AMAZONAS|LUYA|LAMUD,AMAZONAS,LUYA,LAMUD,233,3,1,1
010502,AMAZONAS|LUYA|CAMPORREDONDO,AMAZONAS,LUYA,CAMPORREDONDO,191,1,1,1
010503,AMAZONAS|LUYA|COCABAMBA,AMAZONAS,LUYA,COCABAMBA,16,0,0,1
010504,AMAZONAS|LUYA|COLCAMAR,AMAZONAS,LUYA,COLCAMAR,81,1,1,1
010505,AMAZONAS|LUYA|CONILA,AMAZONAS,LUYA,CONILA,26,0,0,0
010506,AMAZONAS|LUYA|INGUILPATA,AMAZONAS,LUYA,INGUILPATA,13,1,0,1
010507,AMAZONAS|LUYA|LONGUITA,AMAZONAS,LUYA,LONGUITA,10,0,0,0
010508,AMAZONAS|LUYA|LONYA CHICO,AMAZONAS,LUYA,LONYA CHICO,6,0,0,0
010509,AMAZONAS|LUYA|LUYA,AMAZONAS,LUYA,LUYA,245,4,0,1
010510,AMAZONAS|LUYA|LUYA VIEJO,AMAZONAS,LUYA,LUYA VIEJO,14,0,0,0
010511,AMAZONAS|LUYA|MARIA,AMAZONAS,LUYA,MARIA,14,0,0,0
010512,AMAZONAS|LUYA|OCALLI,AMAZONAS,LUYA,OCALLI,102,1,1,1
010513,AMAZONAS|LUYA|OCUMAL,AMAZONAS,LUYA,OCUMAL,99,0,0,2
010514,AMAZONAS|LUYA|PISUQUIA,AMAZONAS,LUYA,PISUQUIA,34,0,0,0
010515,AMAZONAS|LUYA|PROVIDENCIA,AMAZONAS,LUYA,PROVIDENCIA,37,0,0,0
010516,AMAZONAS|LUYA|SAN CRISTOBAL,AMAZONAS,LUYA,SAN CRISTOBAL,14,0,0,0
010517,AMAZONAS|LUYA|SAN FRANCISCO DEL YESO,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,9,0,0,0
010518,AMAZONAS|LUYA|SAN JERONIMO,AMAZONAS,LUYA,SAN JERONIMO,13,0,0,0
010520,AMAZONAS|LUYA|SANTA CATALINA,AMAZONAS,LUYA,SANTA CATALINA,18,0,0,0
010521,AMAZONAS|LUYA|SANTO TOMAS,AMAZONAS,LUYA,SANTO TOMAS,46,1,1,1
010522,AMAZONAS|LUYA|TINGO,AMAZONAS,LUYA,TINGO,101,2,0,1
