n,clas_muni,cod_inei,cod_cpnp,comisaria,tipo_comi,cod_uni,zona_utm,categoria,resolucion,id_dpto,departamen,id_prov,provincia,id_dist,distrito,cod_divpol,divpol_div,cod_macror,macroregpo,cod_regpol,regionpol,latitud,longitud
1,A,0944,4525,CPNP JULIACA,A,219303,UTM / 19 SUR / WGS84,PUNO,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,21,PUNO,2111,SAN ROMAN,211101,JULIACA,18R1A,DIVOPUS JULIACA,18,PUNO,18R1,PUNO,-15.492585417,-70.128052499
2,A,0945,4532,CPNP SANTA BARBARA,B,219307,UTM / 19 SUR / WGS84,PUNO,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,21,PUNO,2111,SAN ROMAN,211101,JULIACA,18R1A,DIVOPUS JULIACA,18,PUNO,18R1,PUNO,-15.504740951,-70.128006299
3,B,0272,1529,CPNP SANTA MARIA DE NIEVA,A,222078,UTM / 18 SUR / WGS84,AMAZONAS,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,01,AMAZONAS,0104,CONDORCANQUI,010401,NIEVA,19R1A,DIVOPUS AMAZONAS,19,SAN MARTIN,19R1,AMAZONAS,-4.592240299,-77.864182289
4,G,0928,4550,CPNP TARACO,E,219335,UTM / 19 SUR / WGS84,PUNO,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,21,PUNO,2106,HUANCANE,210607,TARACO,18R1A,DIVOPUS JULIACA,18,PUNO,18R1,PUNO,-15.29796642,-69.97882371
5,G,1102,5908,CPNP ACOMAYO,C,217489,UTM / 18 SUR / WGS84,HUANUCO,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,10,HUANUCO,1001,HUANUCO,100103,CHINCHAO,08R1B,DIVOPUS HUANUCO,08,HUANUCO,08R1,HUANUCO,-9.80165159,-76.07137442
6,B,1114,5920,CPNP PANAO,B,217493,UTM / 18 SUR / WGS84,HUANUCO,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,10,HUANUCO,1008,PACHITEA,100801,PANAO,08R1B,DIVOPUS HUANUCO,08,HUANUCO,08R1,HUANUCO,-9.896673,-75.994772
7,D,0601,3105,CPNP SAN RAMON,B,217909,UTM / 18 SUR / WGS84,JUNIN,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,12,JUNIN,1203,CHANCHAMAYO,120305,SAN RAMON,10R2B,DIVOPUS CHANCHAMAYO,10,JUNIN,10R2,JUNIN,-11.12086059,-75.35467476
8,D,0599,3115,CPNP PICHANAQUI,B,217915,UTM / 18 SUR / WGS84,JUNIN,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,12,JUNIN,1203,CHANCHAMAYO,120303,PICHANAQUI,10R2B,DIVOPUS CHANCHAMAYO,10,JUNIN,10R2,JUNIN,-10.92721657,-74.87355961
9,D,0598,3110,CPNP VILLA PERENE,C,217912,UTM / 18 SUR / WGS84,JUNIN,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,12,JUNIN,1203,CHANCHAMAYO,120302,PERENE,10R2B,DIVOPUS CHANCHAMAYO,10,JUNIN,10R2,JUNIN,-10.95226298,-75.22554402
10,A,0597,3100,CPNP LA MERCED,B,224394,UTM / 18 SUR / WGS84,JUNIN,APROBADO CON RESOLUCION DE COMANDANCIA GENERAL DE LA POLICIA NACIONAL N° 149-2020-CG  PNP/ SCG DEL 30MAY2020,12,JUNIN,1203,CHANCHAMAYO,120301,CHANCHAMAYO,10R2B,DIVOPUS CHANCHAMAYO,10,JUNIN,10R2,JUNIN,-11.056072143,-75.330924069
