ubigeo,dpto_hecho_new,prov_hecho,dist_hecho,indicador,valor
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,denuncias_2024_2026,3775
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,vehiculos_pnp,65
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,vehiculos_operativos,30
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,comisarias,1
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,denuncias_2024_2026,14
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,vehiculos_pnp,0
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,vehiculos_operativos,0
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,comisarias,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,denuncias_2024_2026,74
010103,AMAZONAS,CHACHAPOYAS,BALSAS,vehiculos_pnp,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,vehiculos_operativos,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,comisarias,1
010104,AMAZONAS,CHACHAPOYAS,CHETO,denuncias_2024_2026,8
010104,AMAZONAS,CHACHAPOYAS,CHETO,vehiculos_pnp,0
010104,AMAZONAS,CHACHAPOYAS,CHETO,vehiculos_operativos,0
010104,AMAZONAS,CHACHAPOYAS,CHETO,comisarias,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,denuncias_2024_2026,8
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,vehiculos_pnp,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,vehiculos_operativos,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,comisarias,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,denuncias_2024_2026,33
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,vehiculos_pnp,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,vehiculos_operativos,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,comisarias,1
010107,AMAZONAS,CHACHAPOYAS,GRANADA,denuncias_2024_2026,3
010107,AMAZONAS,CHACHAPOYAS,GRANADA,vehiculos_pnp,0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,vehiculos_operativos,0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,comisarias,1
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,denuncias_2024_2026,13
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,vehiculos_pnp,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,vehiculos_operativos,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,comisarias,0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,denuncias_2024_2026,162
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,vehiculos_pnp,0
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,vehiculos_operativos,0
