AÑO,MES,DEPENDENCIAS_GENERALES,DEPENDENCIAS,UNIDADES,DEPARTAMENTO,PROVINCIA,DISTRITO,SEXO,CATEGORIA_OFI_SUB,CATEGORIA_ARM_SERV,FUNCION,APT.PSICOSOMATICA,ESTUDIOS_ADICIONALES,PROFESION,ORIGINARIOS,EXTRANJERO,CLASIFICACION,CANTIDAD
2026,MARZO,COMANDANCIA GENERAL,DIRECCION DE PRESTACIONES DE SALUD,DIRECCION DE SANIDAD POLICIAL,TUMBES,TUMBES,TUMBES,MASCULINO,OFICIAL,SERVICIOS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,2
2026,MARZO,COMANDANCIA GENERAL,DIRECCION DE PRESTACIONES DE SALUD,DIRECCION DE SANIDAD POLICIAL,SAN MARTÍN,SAN MARTIN,TARAPOTO,FEMENINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,8
2026,MARZO,SECRETARIA EJECUTIVA,DIRECCION DE ADMINISTRACION,DIVISION DE INFRAESTRUCTURA,LIMA METROPOLITANA,LIMA,RIMAC,MASCULINO,OFICIAL,ARMAS,ADM,APTO COD. 0,TÍTULO,EDUCACIÓN,CASTELLANO,INGLÉS,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL LIMA CENTRO,LIMA METROPOLITANA,LIMA,RIMAC,MASCULINO,OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,13
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL LA LIBERTAD,LA LIBERTAD,TRUJILLO,TRUJILLO,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,COMISARÍAS BÁSICAS,176
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL LIMA CENTRO,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 2,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,COMISARÍAS BÁSICAS,1
2026,MARZO,INSPECTORIA GENERAL,DIRECCION DE INSPECCIONES,DIVISION DE INSPECCIONES,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,MASCULINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,TÍTULO,DERECHO,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,DIRECCION DE TURISMO,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,FEMENINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,COMISARÍAS ESPECIALIZADAS,2
2026,MARZO,SECRETARIA EJECUTIVA,DIRECCION DE COMUNICACION E IMAGEN INSTITUCIONAL,,LIMA METROPOLITANA,LIMA,SAN ISIDRO,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,TÍTULO,ING. SISTEMAS,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL JUNIN,JUNÍN,HUANCAYO,HUANCAYO,MASCULINO,OFICIAL,ARMAS,ADM,APTO COD. 0,MAESTRÍA,EDUCACIÓN,CASTELLANO,INGLÉS,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,DIRECCION DE SEGURIDAD DEL ESTADO,LIMA METROPOLITANA,LIMA,LIMA,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,TÍTULO,CONTABILIDAD,CASTELLANO,INGLÉS,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL MADRE DE DIOS,MADRE DE DIOS,TAHUAMANU,IBERIA,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 1,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,INGLÉS,COMISARÍAS BÁSICAS,1
2026,MARZO,COMANDANCIA GENERAL,DIRECCION DE PRESTACIONES DE SALUD,DIRECCION DE SANIDAD POLICIAL,ÁNCASH,SANTA,CHIMBOTE,MASCULINO,OFICIAL,SERVICIOS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,2
2026,MARZO,SECRETARIA EJECUTIVA,DIRECCION DE RECURSOS HUMANOS,DIVISION DE CONTROL DE RECURSOS HUMANOS,LIMA METROPOLITANA,LIMA,SAN ISIDRO,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,TÍTULO,PSICOLOGÍA,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL PIURA,PIURA,PIURA,CASTILLA,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,INGLÉS,COMISARÍAS BÁSICAS,3
2026,MARZO,COMANDANCIA GENERAL,DIRECCION DE PRESTACIONES DE SALUD,DIRECCION DE SANIDAD POLICIAL,JUNÍN,HUANCAYO,HUANCAYO,FEMENINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 1,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,INGLÉS,OTRAS DEPENDENCIAS,1
