AÑO,MES,CCDD,lugar,PROVINCIA,DISTRITO,COMISARÍA,categoría,Denuncias por comisión,Valor
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,CAPTACIÓN,C_INTERNET,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,CAPTACIÓN,C_OFERTA DE ESTUDIO,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,CAPTACIÓN,C_OFERTA DE TRABAJO,2
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,CAPTACIÓN,C_OTRO (ESPECIFICAR),0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,CAPTACIÓN,C_PADRINAZGO,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,CAPTACIÓN,C_SEDUCCION,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,CAPTACIÓN,C_TOTAL,2
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,DESTINO DEL HECHO,D_COMISARIA,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,DESTINO DEL HECHO,D_DESISTIMIENTO,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,DESTINO DEL HECHO,D_FISCALIA,2
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,DESTINO DEL HECHO,D_JUEZ,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,DESTINO DEL HECHO,D_OTRAS AUTORIDADES,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,DESTINO DEL HECHO,D_OTRO,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,DESTINO DEL HECHO,D_PENDIENTE DE INVESTIGACION,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,DESTINO DEL HECHO,D_TOTAL,2
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FEMENINO GRUPO EDAD,EF_DE 0 A 5 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FEMENINO GRUPO EDAD,EF_DE 30 A 59 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FEMENINO GRUPO EDAD,EF_DE 12 A 17 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FEMENINO GRUPO EDAD,EF_DE 18 A 29 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FEMENINO GRUPO EDAD,EF_DE 6 A 11 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FEMENINO GRUPO EDAD,EF_DE 60 A MAS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,MASCULINO GRUPO DE EDAD,EM_DE 0 A 5 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FEMENINO GRUPO EDAD,EF_SUB TOTAL,2
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,MASCULINO GRUPO DE EDAD,EM_DE 12 A 17 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,MASCULINO GRUPO DE EDAD,EM_DE 18 A 29 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,MASCULINO GRUPO DE EDAD,EM_DE 6 A 11 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,MASCULINO GRUPO DE EDAD,EM_DE 30 A 59 AÑOS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,MASCULINO GRUPO DE EDAD,EM_DE 60 A MAS,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,EM_EF_TOTAL,EM_EF_TOTAL,2
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,MASCULINO GRUPO DE EDAD,EM_SUB TOTAL,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FINALIDAD DEL TIPO DE DELITO,F1_EXPLOTACION LABORAL,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FINALIDAD DEL TIPO DE DELITO,F1_MENDICIDAD,0
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FINALIDAD DEL TIPO DE DELITO,F1_NO IDENTIFICADO,1
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FINALIDAD DEL TIPO DE DELITO,F1_EXPLOTACION SEXUAL,1
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,F1_TOTAL,F1_TOTAL,2
2017,1,2,ÁNCASH,SANTA,CHIMBOTE,DIVICAJ -DEPINTRAP,FINALIDAD DEL TIPO DE DELITO,F1_TRABAJOS Y SERVICIOS FORZADOS,0
